seller_id,business_segment,lead_type,origin,seller_segment_group,is_manufacturer
2c43fb513632d29b3b58df74816f1b06,pet,online_medium,organic_search,Other,0
bbb7d7893a450660432ea6652310ebb7,car_accessories,industry,referral,Auto,1
612170e34b97004b3ba37eae81836b4c,home_appliances,online_big,organic_search,Home_Goods,0
21e1781e36faf92725dde4730a88ca0f,food_drink,online_small,paid_search,Other,0
ed8cb7b190ceb6067227478e48cf8dde,home_appliances,industry,unknown,Home_Goods,1
1c742ac33582852aaf3bcfbf5893abcf,health_beauty,online_medium,organic_search,Health_Beauty,0
92d7568ad0c5c76fd7d341b2d46f24d6,computers,online_medium,direct_traffic,Tech,0
44ed138eca6214d572ce1d813fb0049b,health_beauty,offline,unknown,Health_Beauty,0
0b28859cd04d23edefee9c591fb03cd8,household_utilities,offline,social,Home_Goods,0
87d73636a3acf123e842bb890a4db036,household_utilities,online_medium,paid_search,Home_Goods,0
f7a0d94e966c5665355a182d5b199fcf,construction_tools_house_garden,online_medium,social,Home_Goods,0
b566ab0ef88016e00422755e305103c6,construction_tools_house_garden,online_big,paid_search,Home_Goods,0
2d2322d842118867781fc737e96d59a1,household_utilities,online_medium,direct_traffic,Home_Goods,0
e7012030d0fdd1d3ca504f6de7909c35,toys,online_big,direct_traffic,Other,0
9e7c5f4d7770eab65738cca38f9efccf,sports_leisure,online_medium,paid_search,Other,0
6a6b1614baaaf766293c17d8cb8c5a9d,stationery,industry,social,Other,1
df91910b6a03bb2e3358fa6a35e32f6f,food_drink,online_medium,referral,Other,0
92d46311e4fa7583d14c351fdc881af6,food_supplement,industry,organic_search,Other,1
249f0e9905a6e06ad6c6bea7547ab9f6,home_decor,online_medium,organic_search,Home_Goods,0
b494891378bd8f4560abe576c52deacd,health_beauty,online_top,organic_search,Health_Beauty,0
8c45b4bc4b5c1e2a4e789b4466a39b77,bed_bath_table,offline,organic_search,Other,0
49f6ca9231352dedda1ad1176ce70531,health_beauty,online_small,social,Health_Beauty,0
7d13fca15225358621be4086e1eb0964,watches,online_big,unknown,Other,0
efa89b428cbc422ba9313b4fc6feafc7,fashion_accessories,online_beginner,unknown,Other,0
cb3666965a560e723403683bd378a5f7,jewerly,online_medium,direct_traffic,Other,0
e819bcfade7b5d88a27325eb6cfd62c5,home_decor,industry,organic_search,Home_Goods,1
70c27847eca8195c983ed7e798c56743,pet,online_small,social,Other,0
556a6409838156ea299c9d1f9e2dde43,household_utilities,industry,paid_search,Home_Goods,1
a4fc6eadaff1576af888509a53420f6a,computers,online_beginner,paid_search,Tech,0
0975b0dd18febd1008391fa53dff0891,party,online_medium,organic_search,Other,0
4fae87d32467e18eb46e4a76a0a0b9ce,small_appliances,online_medium,organic_search,Other,0
3525be8392a4fa3274c459bcfee41eef,food_supplement,online_small,unknown,Other,0
8b181ee5518df84f18f4e1a43fe07923,health_beauty,online_medium,unknown,Health_Beauty,0
d594982fd877af63ace38ea1fca27c76,audio_video_electronics,industry,organic_search,Other,1
2f1e89e231b096f4ff1f55dfe8607a7b,computers,online_medium,paid_search,Tech,0
90269579385b838ce9bd577dcec278a4,pet,industry,paid_search,Other,1
398cb257329ef7af7f1943a8974a3cbc,food_drink,online_medium,organic_search,Other,0
d65f74c704563bcb8baa915fbf8cfa1e,health_beauty,online_medium,unknown,Health_Beauty,0
26e2c91ef821e1ff8985f408788fe35b,bed_bath_table,online_beginner,direct_traffic,Other,0
dedcab67899479e4ea5dcc4eba47f587,car_accessories,online_medium,unknown,Auto,0
ca4b77513ac2040591b0d8fae6958380,health_beauty,online_medium,social,Health_Beauty,0
cee3c487c56d29554a22d112af618301,other,other,organic_search,Other,0
ae9d6bb89361dff26edbccc7e1c2911d,fashion_accessories,online_beginner,organic_search,Other,0
da3eab58892c04039f4cd5ecb09ae260,home_decor,offline,unknown,Home_Goods,0
6e4a902d1054e4e17aa6eab87fac1c75,audio_video_electronics,offline,direct_traffic,Other,0
2d42ebcda99fd55f6f4bc2f1ca035d50,home_decor,online_big,social,Home_Goods,0
04843805947f0fc584fc1969b6e50fe7,home_decor,online_big,social,Home_Goods,0
d9d057968270cdb30c14cba606d5dc90,car_accessories,online_medium,unknown,Auto,0
d4dcd3a31f5f19aea2f258a568517a4f,food_drink,industry,organic_search,Other,1
28760737b4b82d4479ddff8db5e9f71f,pet,online_medium,unknown,Other,0
0dccb6973ef48a00fbcccfe907181ab0,food_supplement,online_beginner,organic_search,Other,0
